1 	 0 	 2 
2 	 3 	 3 
1 	 4 	 8 
2 	 9 	 9 
3 	 10 	 10 
2 	 11 	 11 
1 	 12 	 13 
2 	 14 	 16 
1 	 17 	 20 
2 	 21 	 21 
1 	 22 	 34 
2 	 35 	 35 
1 	 36 	 46 
4 	 47 	 47 
1 	 48 	 52 
3 	 53 	 89 
