1
1	  0	  1
1	  0	  5
1	  0	  6
1	  1	  2
1	  1	  3
1	  1	  4
1	  6	  7
1	  6	  8
1	  7	  9
1	  7	 10
1	  8	 11
1	  8	 12
1	  9	 13
1	  9	 14
1	 11	 13
1	 11	 15
1	 13	 16
1	 17	 18
1	 17	 21
1	 17	 22
1	 17	 23
1	 18	 19
1	 18	 20
1	 18	 24
1	 19	 25
1	 19	 26
1	 19	 27
1	 20	 28
1	 29	 30
1	 29	 33
1	 29	 34
1	 29	 35
1	 30	 31
1	 30	 32
1	 30	 36
1	 31	 37
1	 31	 38
1	 31	 39
1	 40	 43
1	 40	 48
1	 40	 52
1	 40	 53
1	 40	 72
1	 41	 53
1	 42	 52
1	 43	 44
1	 43	 57
1	 43	 74
1	 44	 45
1	 44	 46
1	 44	 47
1	 48	 65
1	 48	 69
1	 48	 71
1	 49	 50
1	 49	 51
1	 49	 57
1	 49	 62
1	 54	 55
1	 54	 56
1	 54	 59
1	 54	 62
1	 57	 58
1	 57	 69
1	 59	 60
1	 59	 61
1	 59	 69
1	 62	 63
1	 62	 64
1	 65	 66
1	 65	 67
1	 65	 68
1	 69	 70
1	 72	 73
1	 75	 76
1	 75	 79
1	 75	 80
1	 75	 81
1	 76	 77
1	 76	 78
1	 76	 82
1	 77	 83
1	 77	 84
1	 77	 85
1	 78	 86
8	 40	 32
